Acesso;Sequencial;Disperso
1;0,004000;0,040000
2;0,003000;0,038000
3;0,003000;0,043000
4;0,003000;0,042000
5;0,004000;0,045000
6;0,003000;0,039000
7;0,002000;0,042000
8;0,003000;0,038000
9;0,003000;0,037000
10;0,003000;0,041000
11;0,003000;0,040000
12;0,004000;0,039000
13;0,002000;0,039000
14;0,002000;0,039000
15;0,004000;0,039000
16;0,003000;0,038000
17;0,003000;0,038000
18;0,003000;0,042000
19;0,002000;0,039000
20;0,004000;0,045000
21;0,002000;0,040000
22;0,004000;0,038000
23;0,003000;0,044000
24;0,003000;0,041000
25;0,003000;0,040000
26;0,003000;0,039000
27;0,003000;0,041000
28;0,003000;0,037000
29;0,002000;0,040000
30;0,003000;0,041000
